OBJECTID,NA_ID,NEIGHB_NAME,STATUS,CLASSIFICA,Web,ShapeSTArea,ShapeSTLength
10631,149,Summit Woods    ,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/149.html,4711809.5592522,8939.48760852811
10632,150,Leopold    ,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/150.html,8589897.33118445,12764.434061436
10633,151,VanChaMasShe    ,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/151.html,846400.919739735,3847.66056738478
10634,153,Majestic Oaks    ,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/153.html,3593517.30116768,7933.51230385681
10635,157,Rocky Bluff    ,Active,Homeowners Association,https://www.cityofmadison.com/neighborhoods/profile/157.html,3886584.18517901,10849.9806003012
10636,160,Twin Oaks    ,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/160.html,1141939.21815198,5417.48201998276
10637,161,Cardinal Glenn    ,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/161.html,22714185.5415622,19929.2650420338
10638,18,Cherokee Park    ,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/18.html,6459312.1247706,19181.1693435409
10639,20,Dunn's Marsh    ,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/20.html,19943069.9854192,18832.3757730095
10640,55,Moorland-Rimrock Neighborhood Association,Inactive,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/55.html,36272068.5074386,27386.4207933859
10641,77,Sauk Creek Condominium Association,Inactive,Condominium Association,https://www.cityofmadison.com/neighborhoods/profile/77.html,1128726.92579652,4984.6498832125
10642,79,Schenk-Atwood Revitalization  ,Active,Business Association,https://www.cityofmadison.com/neighborhoods/profile/79.html,15641060.3126011,18286.7354226664
10643,89,Sunset Hills,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/89.html,1509692.07108261,5173.05110635361
10644,99,Waunona    ,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/99.html,8388170.1487261,22217.3273279273
10645,108,Woodland Hills    ,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/108.html,4115103.2215208,10720.2677616499
10646,152,Monona Bay    ,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/152.html,3720329.24399779,11875.2285087157
10647,54,Millstone Neighborhood Association,Inactive,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/54.html,292863.918252194,2565.76960415175
10648,58,Trinity Park Neighborhood Association,Inactive,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/58.html,331287.390828199,2556.68097991263
10649,88,Stonefield Woods-Ridge Neighborhood Association,Inactive,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/88.html,1965152.18383124,7991.38805163985
10650,164,Secret Places    ,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/164.html,6494383.75549535,11837.4538374092
10651,166,Liberty Place    ,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/166.html,3223543.77228945,8160.84750685026
10652,7,Bluff Acres Neighborhood Association,Inactive,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/7.html,19246765.9568199,18312.9697293715
10653,57,Norman Acres Neighborhood Association,Inactive,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/57.html,1732813.84522985,6857.11646755782
